tree	node	distance	d-025	d-975	dist-rad	dr-025	dr-975	brLen	x-005	x-095	slower	faster	speed	speed-rad
leptopteroid_tree	--	1253179.236	1196387.778	1314565.774	196.700	187.786	206.336	2329.709	1384966.164	1495582.316	1.000	0.000	537.912	0.084
leptopteroid_tree	1	154555.570	132813.710	178595.303	24.259	20.847	28.033	299.898	157061.278	196732.715	0.581	0.000	515.360	0.081
leptopteroid_tree	2	1502.930	268.382	3535.685	0.236	0.042	0.555	1.645	444.780	3447.047	0.055	0.030	913.593	0.143
leptopteroid_tree	3	12775.017	7287.662	18891.384	2.005	1.144	2.965	22.977	9041.794	19469.152	0.104	0.019	555.984	0.087
leptopteroid_tree	4	23852.024	15921.021	32632.710	3.744	2.499	5.122	43.402	19218.639	34067.635	0.121	0.014	549.560	0.086
leptopteroid_tree	5	8223.553	4310.713	13509.860	1.291	0.677	2.121	14.591	5082.587	13746.455	0.073	0.024	563.592	0.088
leptopteroid_tree	6	7313.220	3834.279	12071.685	1.148	0.602	1.895	11.272	4357.254	12036.655	0.060	0.027	648.821	0.102
leptopteroid_tree	7	3633.110	1212.237	7157.942	0.570	0.190	1.124	5.139	1556.764	6674.583	0.049	0.042	706.971	0.111
leptopteroid_tree	8	6547.302	2711.307	11342.712	1.028	0.426	1.780	12.113	4132.866	11637.772	0.122	0.024	540.507	0.085
leptopteroid_tree	9	2954.851	1010.670	6018.956	0.464	0.159	0.945	4.595	1448.305	6420.965	0.088	0.016	643.057	0.101
leptopteroid_tree	10	3983.199	1538.345	7999.720	0.625	0.241	1.256	7.595	2260.850	8385.891	0.110	0.019	524.477	0.082
leptopteroid_tree	11	4028.144	1517.321	7974.747	0.632	0.238	1.252	7.934	2202.847	8464.420	0.097	0.014	507.688	0.080
leptopteroid_tree	12	15219.948	8919.569	22122.894	2.389	1.400	3.472	26.131	10815.815	22361.121	0.077	0.021	582.457	0.091
leptopteroid_tree	13	11360.438	6602.013	17220.381	1.783	1.036	2.703	19.689	8107.182	17955.834	0.102	0.019	577.003	0.091
leptopteroid_tree	14	8247.230	4078.607	14047.970	1.294	0.640	2.205	14.015	5575.693	14009.820	0.108	0.027	588.452	0.092
leptopteroid_tree	15	16501.985	10027.293	24199.530	2.590	1.574	3.798	30.242	12582.169	25807.369	0.119	0.011	545.666	0.086
leptopteroid_tree	16	4719.865	1682.818	9037.888	0.741	0.264	1.419	8.770	2455.755	8966.191	0.098	0.029	538.156	0.084
leptopteroid_tree	17	12455.892	7649.738	17612.538	1.955	1.201	2.764	14.200	4977.574	13564.964	0.001	0.355	877.168	0.138
leptopteroid_tree	18	6087.312	2572.462	10105.050	0.955	0.404	1.586	6.835	2664.809	8421.735	0.030	0.154	890.637	0.140
leptopteroid_tree	19	4768.842	1989.863	8385.431	0.749	0.312	1.316	5.328	1888.677	6826.535	0.020	0.120	895.022	0.140
leptopteroid_tree	20	11604.546	6487.465	17548.160	1.821	1.018	2.754	20.757	8508.281	18689.097	0.131	0.010	559.070	0.088
leptopteroid_tree	21	32038.845	23391.508	42389.396	5.029	3.672	6.653	60.632	28023.042	46140.577	0.196	0.002	528.417	0.083
leptopteroid_tree	22	47133.649	35104.045	60592.140	7.398	5.510	9.511	92.764	45691.074	66539.241	0.404	0.003	508.105	0.080
leptopteroid_tree	23	25094.473	17363.989	34665.282	3.939	2.725	5.441	47.149	21067.684	36751.551	0.162	0.004	532.239	0.084
leptopteroid_tree	24	78465.595	62669.964	96298.099	12.316	9.837	15.115	152.904	75570.824	104966.567	0.344	0.004	513.170	0.081
leptopteroid_tree	25	16178.035	9959.413	23520.772	2.539	1.563	3.692	28.821	12463.746	24400.987	0.136	0.014	561.328	0.088
leptopteroid_tree	26	52066.141	39317.500	67039.195	8.172	6.171	10.523	99.715	49711.369	71063.826	0.354	0.007	522.151	0.082
leptopteroid_tree	27	13025.233	7205.336	19800.698	2.044	1.131	3.108	24.368	8965.515	20276.541	0.098	0.021	534.521	0.084
leptopteroid_tree	28	12574.633	7458.876	19269.516	1.974	1.171	3.025	21.459	8789.700	18806.594	0.088	0.037	585.983	0.092
leptopteroid_tree	29	1636.606	244.748	3898.402	0.257	0.038	0.612	2.909	667.170	4336.608	0.123	0.012	562.595	0.088
leptopteroid_tree	30	1910.491	240.685	4081.188	0.300	0.038	0.641	2.909	555.975	4336.608	0.066	0.011	656.744	0.103
leptopteroid_tree	31	59754.393	45627.712	75606.208	9.379	7.162	11.867	114.618	57667.440	80780.443	0.406	0.002	521.336	0.082
leptopteroid_tree	32	4178.064	1493.593	8811.160	0.656	0.234	1.383	9.465	2539.186	9713.327	0.163	0.017	441.426	0.069
leptopteroid_tree	33	1932.545	365.312	4954.722	0.303	0.057	0.778	3.865	667.170	5114.973	0.074	0.019	500.007	0.078
leptopteroid_tree	34	3511.265	1114.184	6557.858	0.551	0.175	1.029	5.600	1673.713	6657.114	0.068	0.021	627.024	0.098
leptopteroid_tree	35	2768.622	824.470	6364.383	0.435	0.129	0.999	5.600	1576.700	6945.944	0.147	0.011	494.406	0.078
leptopteroid_tree	36	5649.750	2526.138	10033.022	0.887	0.397	1.575	8.742	3168.334	10213.311	0.070	0.020	646.278	0.101
leptopteroid_tree	37	6470.761	3134.156	11227.169	1.016	0.492	1.762	11.800	4190.318	11911.080	0.102	0.013	548.385	0.086
leptopteroid_tree	38	4809.668	1715.427	8985.322	0.755	0.269	1.410	9.243	2559.124	9267.178	0.090	0.018	520.370	0.082
leptopteroid_tree	39	5612.183	2262.050	10108.742	0.881	0.355	1.587	10.209	3195.407	10499.535	0.083	0.016	549.708	0.086
leptopteroid_tree	40	20367.501	12712.066	28464.143	3.197	1.995	4.468	36.025	15572.244	28962.789	0.102	0.020	565.378	0.089
leptopteroid_tree	41	16995.009	10684.646	24947.327	2.668	1.677	3.916	30.484	13317.758	25723.214	0.152	0.015	557.503	0.088
leptopteroid_tree	42	22278.915	15145.680	31046.007	3.497	2.377	4.873	40.669	17452.895	32511.423	0.108	0.014	547.810	0.086
leptopteroid_tree	43	3870.812	1583.374	7249.771	0.608	0.249	1.138	5.908	2083.401	7505.783	0.080	0.021	655.214	0.103
leptopteroid_tree	44	5381.918	1984.596	9705.717	0.845	0.312	1.523	7.784	2171.935	8669.585	0.032	0.061	691.382	0.109
leptopteroid_tree	45	11056.076	6382.458	16170.528	1.735	1.002	2.538	15.336	5889.611	14282.534	0.016	0.102	720.902	0.113
leptopteroid_tree	46	4002.971	1437.578	7791.477	0.628	0.226	1.223	4.932	1676.424	6809.803	0.046	0.072	811.610	0.127
leptopteroid_tree	47	41077.180	31227.675	52836.242	6.448	4.902	8.293	77.229	36211.326	56074.624	0.196	0.006	531.888	0.083
leptopteroid_tree	48	10222.127	5202.460	15900.407	1.604	0.817	2.496	17.758	6724.911	16757.670	0.093	0.016	575.641	0.090
leptopteroid_tree	49	5526.138	2452.740	9870.529	0.867	0.385	1.549	8.781	3380.035	10485.539	0.098	0.010	629.307	0.099
leptopteroid_tree	50	9279.570	4821.880	15361.114	1.457	0.757	2.411	16.049	6344.752	15194.927	0.114	0.029	578.195	0.091
leptopteroid_tree	51	16338.417	9859.534	23647.562	2.564	1.548	3.712	26.444	10959.763	22493.706	0.061	0.043	617.843	0.097
leptopteroid_tree	52	12698.141	7402.425	19952.011	1.993	1.162	3.132	22.809	9313.138	20490.964	0.119	0.018	556.726	0.087
leptopteroid_tree	53	6124.017	2567.925	10765.105	0.961	0.403	1.690	11.436	4056.990	11677.523	0.137	0.010	535.501	0.084
leptopteroid_tree	54	6208.698	2795.446	10840.553	0.975	0.439	1.702	11.441	4165.243	11545.083	0.139	0.010	542.671	0.085
leptopteroid_tree	55	13730.263	7265.471	21039.118	2.155	1.140	3.302	25.213	10133.665	22480.671	0.140	0.009	544.561	0.085
leptopteroid_tree	56	37773.785	27803.829	49181.035	5.929	4.364	7.720	70.251	33351.579	52242.127	0.207	0.008	537.696	0.084
leptopteroid_tree	57	1917.182	309.952	4961.064	0.301	0.049	0.779	3.498	555.975	4781.388	0.075	0.029	548.084	0.086
leptopteroid_tree	58	11534.647	6552.540	17971.767	1.810	1.028	2.821	21.472	8512.360	19028.564	0.144	0.013	537.207	0.084
leptopteroid_tree	59	8753.346	4375.603	14073.911	1.374	0.687	2.209	15.820	6019.734	14798.433	0.136	0.016	553.318	0.087
leptopteroid_tree	60	10597.310	5403.919	16575.016	1.663	0.848	2.602	20.731	8249.286	18460.709	0.177	0.005	511.177	0.080
leptopteroid_tree	61	7982.472	3736.796	12968.734	1.253	0.587	2.036	14.973	5668.290	14748.307	0.171	0.004	533.140	0.084
leptopteroid_tree	62	3424.846	1270.876	6559.307	0.538	0.199	1.030	5.873	1981.976	7456.191	0.111	0.008	583.139	0.092
leptopteroid_tree	63	6382.621	2839.369	11732.748	1.002	0.446	1.842	14.408	4986.701	13563.199	0.266	0.004	442.997	0.070
leptopteroid_tree	64	23068.133	15401.441	32982.815	3.621	2.417	5.177	43.493	19993.378	35057.233	0.233	0.014	530.382	0.083
leptopteroid_tree	65	3969.662	1310.995	7838.368	0.623	0.206	1.230	5.888	1888.527	7391.975	0.090	0.033	674.249	0.106
leptopteroid_tree	66	8498.599	4068.292	14397.481	1.334	0.639	2.260	16.310	6532.779	15990.565	0.242	0.004	521.082	0.082
leptopteroid_tree	67	12902.143	7528.681	19680.909	2.025	1.182	3.089	25.510	10423.522	21634.852	0.198	0.009	505.762	0.079
leptopteroid_tree	68	45035.923	34278.657	57628.259	7.069	5.380	9.045	83.987	40271.874	60295.888	0.199	0.010	536.222	0.084
leptopteroid_tree	69	38569.403	27383.016	51574.994	6.054	4.298	8.095	77.588	37439.384	57126.422	0.410	0.003	497.104	0.078
leptopteroid_tree	70	4292.777	1023.903	7597.307	0.674	0.161	1.192	5.166	1864.912	7214.491	0.102	0.041	830.930	0.130
leptopteroid_tree	71	21064.315	13721.762	30746.334	3.306	2.154	4.826	45.078	20135.826	35504.561	0.418	0.001	467.284	0.073
leptopteroid_tree	72	4682.076	1998.063	9270.708	0.735	0.314	1.455	12.363	4364.030	12231.306	0.425	0.000	378.712	0.059
leptopteroid_tree	73	5229.727	2670.214	9968.710	0.821	0.419	1.565	12.363	4472.512	12045.616	0.316	0.003	423.009	0.066
leptopteroid_tree	74	49819.704	36475.624	65310.778	7.820	5.725	10.251	104.859	49998.898	73279.993	0.507	0.001	475.112	0.075
leptopteroid_tree	75	10907.765	6167.475	19366.083	1.712	0.968	3.040	30.171	12273.262	24534.063	0.646	0.001	361.536	0.057
leptopteroid_tree	76	3523.453	1556.196	7620.520	0.553	0.244	1.196	8.632	3119.339	9783.470	0.375	0.004	408.198	0.064
leptopteroid_tree	77	9697.209	5790.020	15737.098	1.522	0.909	2.470	21.539	8589.353	18677.090	0.322	0.002	450.218	0.071
leptopteroid_tree	78	9397.360	5326.367	15547.765	1.475	0.836	2.440	21.539	8347.910	18698.990	0.322	0.004	436.297	0.068
